time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,missing
2015-01-01 00:00,2015-01-01 01:00,0,0,0,1.370,
2015-01-01 01:00,2015-01-01 02:00,0,0,0,0.993,
2015-01-01 02:00,2015-01-01 03:00,0,0,0,0.771,
2015-01-01 03:00,2015-01-01 04:00,0,0,0,0.655,
2015-01-01 04:00,2015-01-01 05:00,0,0,0,0.591,
2015-01-01 05:00,2015-01-01 06:00,0,0,0,0.390,
2015-01-01 06:00,2015-01-01 07:00,0,0,0,0.174,
2015-01-01 07:00,2015-01-01 08:00,0,0,0,-0.135,
2015-01-01 08:00,2015-01-01 09:00,0.019,0.030,0.008,0.125,
2015-01-01 09:00,2015-01-01 10:00,0.068,0.054,0.036,0.964,
2015-01-01 10:00,2015-01-01 11:00,0.037,0.007,0.050,1.668,
2015-01-01 11:00,2015-01-01 12:00,0.074,0.012,0.083,2.335,
2015-01-01 12:00,2015-01-01 13:00,0.159,0.083,0.099,2.691,
2015-01-01 13:00,2015-01-01 14:00,0.136,0.074,0.085,2.791,
2015-01-01 14:00,2015-01-01 15:00,0.097,0.062,0.057,2.587,
2015-01-01 15:00,2015-01-01 16:00,0.002,0.009,0.008,2.077,
2015-01-01 16:00,2015-01-01 17:00,0,0,0,1.889,
2015-01-01 17:00,2015-01-01 18:00,0,0,0,1.826,
2015-01-01 18:00,2015-01-01 19:00,0,0,0,1.749,
2015-01-01 19:00,2015-01-01 20:00,0,0,0,1.680,
2015-01-01 20:00,2015-01-01 21:00,0,0,0,1.811,
2015-01-01 21:00,2015-01-01 22:00,0,0,0,1.930,
2015-01-01 22:00,2015-01-01 23:00,0,0,0,2.063,
2015-01-01 23:00,2015-01-02 00:00,0,0,0,2.330,
2015-01-02 00:00,2015-01-02 01:00,0,0,0,2.648,
2015-01-02 01:00,2015-01-02 02:00,0,0,0,2.980,
2015-01-02 02:00,2015-01-02 03:00,0,0,0,3.366,
2015-01-02 03:00,2015-01-02 04:00,0,0,0,3.948,
2015-01-02 04:00,2015-01-02 05:00,0,0,0,4.948,
2015-01-02 05:00,2015-01-02 06:00,0,0,0,6.301,
2015-01-02 06:00,2015-01-02 07:00,0,0,0,7.734,
2015-01-02 07:00,2015-01-02 08:00,0,0,0,8.047,
2015-01-02 08:00,2015-01-02 09:00,0,0.002,0.006,7.527,
2015-01-02 09:00,2015-01-02 10:00,0.086,0.067,0.044,7.321,
2015-01-02 10:00,2015-01-02 11:00,0.405,0.399,0.052,7.337,
2015-01-02 11:00,2015-01-02 12:00,0.466,0.453,0.068,7.551,
2015-01-02 12:00,2015-01-02 13:00,0.402,0.362,0.087,7.741,
2015-01-02 13:00,2015-01-02 14:00,0.357,0.321,0.076,7.456,
2015-01-02 14:00,2015-01-02 15:00,0.230,0.202,0.058,6.668,
2015-01-02 15:00,2015-01-02 16:00,0.025,0.029,0.016,5.765,
2015-01-02 16:00,2015-01-02 17:00,0,0,0,5.660,
2015-01-02 17:00,2015-01-02 18:00,0,0,0,5.693,
2015-01-02 18:00,2015-01-02 19:00,0,0,0,5.585,
2015-01-02 19:00,2015-01-02 20:00,0,0,0,5.107,
2015-01-02 20:00,2015-01-02 21:00,0,0,0,4.660,
2015-01-02 21:00,2015-01-02 22:00,0,0,0,4.526,
2015-01-02 22:00,2015-01-02 23:00,0,0,0,4.181,
2015-01-02 23:00,2015-01-03 00:00,0,0,0,3.345,
2015-01-03 00:00,2015-01-03 01:00,0,0,0,3.896,
2015-01-03 01:00,2015-01-03 02:00,0,0,0,4.115,
2015-01-03 02:00,2015-01-03 03:00,0,0,0,4.073,
2015-01-03 03:00,2015-01-03 04:00,0,0,0,3.944,
2015-01-03 04:00,2015-01-03 05:00,0,0,0,3.814,
2015-01-03 05:00,2015-01-03 06:00,0,0,0,3.890,
2015-01-03 06:00,2015-01-03 07:00,0,0,0,3.985,
2015-01-03 07:00,2015-01-03 08:00,0,0,0,3.819,
2015-01-03 08:00,2015-01-03 09:00,0,0,0.005,3.573,
